category,word,condition,correct_answer
A BODY OF WATER,SEA,target,yes
A BODY OF WATER,OCEAN,E1,yes
A BODY OF WATER,LAKE,E2,yes
A BODY OF WATER,POND,E3,yes
A BODY OF WATER,BAY,E4,yes
A BODY OF WATER,SEE,rw_homophone,no
A BODY OF WATER,CEE,nw_homophone,no
A BODY OF WATER,SIA,nw_spelling,no
A BODY OF WATER,SEW,rw_spelling,no
A BODY OF WATER,BOOK,Filler,no
A PART OF A SHIP,SAIL,target,yes
A PART OF A SHIP,MAST,E1,yes
A PART OF A SHIP,DECK,E2,yes
A PART OF A SHIP,HULL,E3,yes
A PART OF A SHIP,ANCHOR,E4,yes
A PART OF A SHIP,SALE,rw_homophone,no
A PART OF A SHIP,SAYL,nw_homophone,no
A PART OF A SHIP,SAUL,nw_spelling,no
A PART OF A SHIP,SAID,rw_spelling,no
A PART OF A SHIP,GRAPE,Filler,no
A PART OF A LION'S BODY,TAIL,target,yes
A PART OF A LION'S BODY,PAW,E1,yes
A PART OF A LION'S BODY,CLAW,E2,yes
A PART OF A LION'S BODY,EAR,E3,yes
A PART OF A LION'S BODY,WHISKER,E4,yes
A PART OF A LION'S BODY,TALE,rw_homophone,no
A PART OF A LION'S BODY,TAYL,nw_homophone,no
A PART OF A LION'S BODY,TOIL,nw_spelling,no
A PART OF A LION'S BODY,TALL,rw_spelling,no
A PART OF A LION'S BODY,MIRROR,Filler,no
A PART OF A BICYCLE,BRAKE,target,yes
A PART OF A BICYCLE,PEDAL,E1,yes
A PART OF A BICYCLE,CHAIN,E2,yes
A PART OF A BICYCLE,WHEEL,E3,yes
A PART OF A BICYCLE,HANDLEBAR,E4,yes
A PART OF A BICYCLE,BREAK,rw_homophone,no
A PART OF A BICYCLE,BRAYK,nw_homophone,no
A PART OF A BICYCLE,BRAFE,nw_spelling,no
A PART OF A BICYCLE,BRAVE,rw_spelling,no
A PART OF A BICYCLE,COOKIE,Filler,no
A KIND OF MEAT,STEAK,target,yes
A KIND OF MEAT,PORK,E1,yes
A KIND OF MEAT,CHICKEN,E2,yes
